,lon,lat,nltk_sentiment,count,total,%neg
434,103.800679309,1.34364174742,Negative,2,44,4.545454545454546
435,103.800679309,1.34364174742,Neutral,20,44,45.45454545454545
436,103.800679309,1.34364174742,Positive,22,44,50.0
437,103.800679309,1.42364174742,Negative,2,44,4.545454545454546
438,103.800679309,1.42364174742,Neutral,26,44,59.09090909090909
439,103.800679309,1.42364174742,Positive,16,44,36.36363636363637
440,103.800679309,1.43364174742,Negative,37,387,9.560723514211883
441,103.800679309,1.43364174742,Neutral,161,387,41.60206718346253
442,103.800679309,1.43364174742,Positive,189,387,48.837209302325576
443,103.800679309,1.44364174742,Negative,23,600,3.833333333333333
444,103.800679309,1.44364174742,Neutral,391,600,65.16666666666666
445,103.800679309,1.44364174742,Positive,186,600,31.0
446,103.800679309,1.45364174742,Negative,64,526,12.167300380228136
447,103.800679309,1.45364174742,Neutral,126,526,23.954372623574145
448,103.800679309,1.45364174742,Positive,336,526,63.87832699619772
