,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
191,103.830679309,1.30364174742,Negative,532,7077,7.51730959446093,0.2799986152324431
192,103.830679309,1.31364174742,Negative,58,1079,5.375347544022243,0.32568721037998144
193,103.830679309,1.32364174742,Negative,8,96,8.333333333333332,0.17184375
194,103.830679309,1.33364174742,Negative,1,44,2.272727272727273,0.3660590909090909
195,103.830679309,1.34364174742,Negative,46,501,9.181636726546904,0.19646427145708584
196,103.830679309,1.35364174742,Negative,43,521,8.253358925143955,0.20921554702495201
197,103.830679309,1.36364174742,Negative,24,207,11.594202898550725,0.16444830917874395
198,103.830679309,1.37364174742,Negative,196,612,32.02614379084967,-0.05291764705882352
199,103.830679309,1.38364174742,Negative,20,200,10.0,0.09290100000000001
200,103.830679309,1.39364174742,Negative,1,25,4.0,0.062524
201,103.830679309,1.40364174742,Negative,16,42,38.095238095238095,0.16404285714285716
202,103.830679309,1.41364174742,Negative,81,606,13.366336633663368,0.14076765676567657
203,103.830679309,1.42364174742,Negative,37,339,10.914454277286136,0.181276401179941
204,103.830679309,1.43364174742,Negative,97,1040,9.326923076923077,0.18741240384615385
205,103.830679309,1.44364174742,Negative,35,299,11.705685618729095,0.0440190635451505
206,103.830679309,1.45364174742,Negative,10,116,8.620689655172415,0.17811379310344827
207,103.840679309,1.24364174742,Negative,38,579,6.563039723661486,0.25848359240069085
208,103.840679309,1.25364174742,Negative,14,107,13.084112149532707,0.1794663551401869
209,103.840679309,1.27364174742,Negative,304,3107,9.784357901512712,0.2441627293208883
210,103.840679309,1.28364174742,Negative,730,7160,10.195530726256983,0.2050554748603352
211,103.840679309,1.30364174742,Negative,854,8484,10.066006600660064,0.23426700848656296
212,103.840679309,1.32364174742,Negative,137,1412,9.702549575070822,0.21368484419263456
213,103.840679309,1.33364174742,Negative,20,406,4.926108374384237,0.11251330049261084
214,103.840679309,1.34364174742,Negative,16,184,8.695652173913043,0.2096228260869565
215,103.840679309,1.35364174742,Negative,59,626,9.424920127795527,0.31858226837060705
216,103.840679309,1.36364174742,Negative,48,469,10.23454157782516,0.13396119402985077
