,lon,lat,nltk_sentiment,count,total,%neg
319,103.730679309,1.44364174742,Negative,28,264,10.606060606060606
320,103.730679309,1.44364174742,Neutral,122,264,46.21212121212121
321,103.730679309,1.44364174742,Positive,114,264,43.18181818181818
322,103.740679309,1.16364174742,Neutral,2,8,25.0
323,103.740679309,1.16364174742,Positive,6,8,75.0
324,103.740679309,1.19364174742,Neutral,1,1,100.0
325,103.740679309,1.22364174742,Neutral,1,1,100.0
326,103.740679309,1.27364174742,Neutral,1,1,100.0
327,103.740679309,1.28364174742,Neutral,1,1,100.0
328,103.740679309,1.30364174742,Negative,1,15,6.666666666666667
329,103.740679309,1.30364174742,Neutral,11,15,73.33333333333333
330,103.740679309,1.30364174742,Positive,3,15,20.0
331,103.740679309,1.31364174742,Negative,1,30,3.3333333333333335
332,103.740679309,1.31364174742,Neutral,20,30,66.66666666666666
333,103.740679309,1.31364174742,Positive,9,30,30.0
334,103.740679309,1.32364174742,Negative,16,140,11.428571428571429
335,103.740679309,1.32364174742,Neutral,75,140,53.57142857142857
336,103.740679309,1.32364174742,Positive,49,140,35.0
337,103.740679309,1.33364174742,Negative,264,2830,9.328621908127209
338,103.740679309,1.33364174742,Neutral,1349,2830,47.6678445229682
339,103.740679309,1.33364174742,Positive,1217,2830,43.003533568904594
340,103.740679309,1.34364174742,Negative,28,272,10.294117647058822
341,103.740679309,1.34364174742,Neutral,168,272,61.76470588235294
342,103.740679309,1.34364174742,Positive,76,272,27.941176470588236
343,103.740679309,1.35364174742,Negative,15,296,5.0675675675675675
344,103.740679309,1.35364174742,Neutral,208,296,70.27027027027027
345,103.740679309,1.35364174742,Positive,73,296,24.66216216216216
346,103.740679309,1.36364174742,Negative,5,72,6.944444444444445
347,103.740679309,1.36364174742,Neutral,45,72,62.5
348,103.740679309,1.36364174742,Positive,22,72,30.555555555555557
349,103.740679309,1.37364174742,Negative,27,246,10.975609756097562
350,103.740679309,1.37364174742,Neutral,149,246,60.56910569105691
351,103.740679309,1.37364174742,Positive,70,246,28.455284552845526
352,103.740679309,1.38364174742,Negative,36,480,7.5
353,103.740679309,1.38364174742,Neutral,306,480,63.74999999999999
354,103.740679309,1.38364174742,Positive,138,480,28.749999999999996
355,103.740679309,1.39364174742,Negative,9,210,4.285714285714286
356,103.740679309,1.39364174742,Neutral,159,210,75.71428571428571
357,103.740679309,1.39364174742,Positive,42,210,20.0
358,103.740679309,1.40364174742,Negative,6,87,6.896551724137931
359,103.740679309,1.40364174742,Neutral,50,87,57.47126436781609
360,103.740679309,1.40364174742,Positive,31,87,35.63218390804598
361,103.740679309,1.41364174742,Neutral,5,8,62.5
362,103.740679309,1.41364174742,Positive,3,8,37.5
363,103.740679309,1.42364174742,Neutral,4,6,66.66666666666666
